address,coordinate
Başıbüyük Mahallesi/REÇİNE SK.,"40.959402, 29.142740"
Başıbüyük Mahallesi/SELVİ SK.,"40.958223, 29.148939"
Başıbüyük Mahallesi/SERHAT SK.,"40.957685, 29.152846"
Başıbüyük Mahallesi/SERİN SK.,"40.955860, 29.150978"
Başıbüyük Mahallesi/SEZENLİK SK.,"40.954471, 29.145022"
Başıbüyük Mahallesi/SULTAN SK.,"40.953742, 29.170606"
Başıbüyük Mahallesi/ŞEN SK.,"40.959313, 29.153161"
Başıbüyük Mahallesi/TAN SK.,"40.956827, 29.145435"
Başıbüyük Mahallesi/TAŞLIK SK.,"40.952898, 29.150331"
Başıbüyük Mahallesi/TAŞOCAĞI SK.,"40.952898, 29.150331"
Başıbüyük Mahallesi/TEKKE DERESİ SK.,"40.960130, 29.145866"
Başıbüyük Mahallesi/TOPRAK YOL SK.,"40.954566, 29.145723"
Başıbüyük Mahallesi/TURGUT SK.,"40.961029, 29.146881"
Başıbüyük Mahallesi/VEYSEL SK.,"40.954239, 29.149981"
Başıbüyük Mahallesi/YARICI SK.,"40.953204, 29.153161"
Başıbüyük Mahallesi/YAZGAN SK.,"40.961513, 29.147322"
Başıbüyük Mahallesi/YENİ CAMİ SK.,"40.955847, 29.146307"
Başıbüyük Mahallesi/YILDIZ SK.,"40.960525, 29.145812"
Başıbüyük Mahallesi/YILMAZ SK.,"40.954525, 29.144492"
Başıbüyük Mahallesi/YONCA SK.,"40.956650, 29.144663"
Başıbüyük Mahallesi/ZİRVE SK.,"40.955097, 29.154643"
